Year,month,Lat,Lon
2005,"(2005, 10)",43.0290007,-89.4229975
2005,"(2005, 10)",43.029186,-89.45904279999999
2005,"(2005, 10)",43.063699,-89.50164559999999
2005,"(2005, 10)",43.0974635,-89.31879579999999
2005,"(2005, 10)",43.0415806,-89.47762469999999
2005,"(2005, 10)",43.063699,-89.50164559999999
2005,"(2005, 10)",43.084283,-89.428786
2005,"(2005, 10)",43.0289256,-89.4597532
2005,"(2005, 10)",43.03860040000001,-89.40326309999999
2005,"(2005, 10)",43.0573878,-89.50590679999999
2005,"(2005, 10)",43.0506293,-89.4776144
2005,"(2005, 10)",43.0607741,-89.5026524
2005,"(2005, 10)",43.08201529999999,-89.4756712
2005,"(2005, 10)",43.063699,-89.50164559999999
2005,"(2005, 10)",43.063699,-89.50164559999999
2005,"(2005, 10)",43.1025612,-89.29405419999999
2005,"(2005, 10)",43.09760680000001,-89.35483169999999
2005,"(2005, 10)",43.1422917,-89.3914283
2005,"(2005, 10)",43.0601809,-89.4629051
2005,"(2005, 10)",43.0734337,-89.3099441
2005,"(2005, 10)",43.0813122,-89.3788909
2005,"(2005, 10)",43.1299419,-89.36115769999999
2005,"(2005, 10)",43.0746101,-89.3938659
2005,"(2005, 10)",43.0638729,-89.50086569999999
2005,"(2005, 10)",43.0764186,-89.39581310000001
2005,"(2005, 10)",43.098441,-89.3056639
2005,"(2005, 10)",43.0746521,-89.39115600000001
2005,"(2005, 10)",43.0746521,-89.39115600000001
2005,"(2005, 10)",43.0658475,-89.40724999999999
2005,"(2005, 10)",43.0431232,-89.4662761
2005,"(2005, 10)",43.0746521,-89.39115600000001
2005,"(2005, 10)",43.0746521,-89.39115600000001
2005,"(2005, 10)",43.0748377,-89.39262699999999
2005,"(2005, 10)",43.0851638,-89.37801259999999
2005,"(2005, 10)",43.0658475,-89.40724999999999
2005,"(2005, 10)",43.0390975,-89.46403769999999
2005,"(2005, 11)",43.0806404,-89.3684229
2005,"(2005, 11)",43.0268059,-89.4597417
2005,"(2005, 10)",43.0746521,-89.39115600000001
2005,"(2005, 11)",43.03721180000001,-89.4056861
2005,"(2005, 11)",43.076025,-89.392
2005,"(2005, 11)",43.0289256,-89.4597532
2005,"(2005, 11)",43.0312516,-89.45795129999999
2005,"(2005, 11)",43.0268059,-89.4597417
2005,"(2005, 11)",43.0655982,-89.50279669999999
2005,"(2005, 11)",43.0312386,-89.45794099999999
2005,"(2005, 11)",43.0759328,-89.38726919999999
2005,"(2005, 11)",43.0268059,-89.4597417
2005,"(2005, 10)",43.0760909,-89.391654
2005,"(2005, 11)",43.063699,-89.50164559999999
2005,"(2005, 11)",43.0367522,-89.4531896
2005,"(2005, 11)",43.0630868,-89.3214352
2005,"(2005, 3)",43.0859684,-89.30564989999999
2005,"(2005, 11)",43.0386279,-89.4040847
2005,"(2005, 11)",43.085328,-89.279838
2005,"(2005, 11)",43.14060730000001,-89.3899165
2005,"(2005, 11)",43.0846057,-89.3248433
2005,"(2005, 11)",43.0853666,-89.3003403
2005,"(2005, 11)",43.0552745,-89.51948019999999
2005,"(2005, 11)",43.0717365,-89.38545219999999
2005,"(2005, 11)",43.0345632,-89.3689558
2005,"(2005, 11)",43.0717365,-89.38545219999999
2005,"(2005, 11)",43.029897,-89.4193887
2005,"(2005, 11)",43.03419179999999,-89.4565396
2005,"(2005, 11)",43.0116196,-89.473694
2005,"(2005, 11)",43.063699,-89.50164559999999
2005,"(2005, 11)",43.086274,-89.32713799999999
2005,"(2005, 11)",43.1029965,-89.3499829
2005,"(2005, 11)",43.0638321,-89.3107857
2005,"(2005, 11)",43.0332062,-89.4579835
2005,"(2005, 12)",43.1301117,-89.3555363
2005,"(2005, 12)",43.0273002,-89.42170159999999
2005,"(2005, 12)",43.0723971,-89.38255009999999
2005,"(2005, 12)",43.0802164,-89.38576979999999
2005,"(2005, 12)",43.0603757,-89.392609
2005,"(2005, 12)",43.0497916,-89.50399519999999
2005,"(2005, 12)",43.09760680000001,-89.35483169999999
2005,"(2005, 12)",43.09760680000001,-89.35483169999999
2005,"(2005, 12)",43.1147727,-89.3287603
2005,"(2005, 12)",43.0385314,-89.3973335
2005,"(2005, 11)",43.085328,-89.279838
2005,"(2005, 12)",43.032147,-89.460883
2005,"(2005, 12)",43.0717365,-89.38545219999999
2005,"(2005, 12)",43.04403749999999,-89.5041046
2005,"(2005, 12)",43.0620633,-89.400875
2005,"(2005, 12)",43.0471802,-89.3055526
2005,"(2005, 12)",43.032147,-89.460883
2005,"(2005, 12)",43.063699,-89.50164559999999
2005,"(2005, 12)",43.0723971,-89.38255009999999
2005,"(2005, 11)",43.1131315,-89.3629819
2005,"(2005, 12)",43.0723971,-89.38255009999999
2005,"(2005, 12)",43.0638729,-89.50086569999999
2005,"(2005, 12)",43.0281425,-89.4595308
2005,"(2005, 12)",43.118909,-89.322026
2005,"(2005, 12)",43.0740394,-89.4370103
2005,"(2005, 12)",43.0724652,-89.42540530000001
2005,"(2005, 12)",43.1324791,-89.29117959999999
2005,"(2005, 12)",43.0986302,-89.3222691
2005,"(2005, 12)",43.0330875,-89.4655569
2005,"(2005, 12)",43.1231134,-89.3142812
2005,"(2005, 12)",43.057041,-89.50367100000001
2005,"(2005, 12)",43.0483572,-89.5025331
2005,"(2005, 12)",43.0717365,-89.38545219999999
2005,"(2005, 12)",43.1208008,-89.3178624
2005,"(2005, 12)",43.0695673,-89.4027083
2005,"(2005, 12)",43.1208008,-89.3178624
2005,"(2005, 12)",43.0556742,-89.4387175
2005,"(2005, 12)",43.0717365,-89.38545219999999
2005,"(2005, 12)",43.0323706,-89.4794419
2006,"(2006, 1)",43.0386589,-89.384509
2006,"(2006, 1)",43.073911,-89.382711
2006,"(2006, 1)",43.1108243,-89.3642213
2006,"(2006, 1)",43.075411,-89.3875542
2006,"(2006, 1)",43.0615247,-89.4382487
2006,"(2006, 1)",43.0306337,-89.41156060000002
2005,"(2005, 12)",43.0570529,-89.50367729999999
2005,"(2005, 1)",43.0475705,-89.5025689
2006,"(2006, 1)",43.031331,-89.4974189
2005,"(2005, 1)",43.0532674,-89.46523189999999
2006,"(2006, 1)",43.1289761,-89.3553357
2006,"(2006, 1)",43.046714,-89.47580529999999
2006,"(2006, 1)",43.0912739,-89.35098459999999
2006,"(2006, 1)",43.12583,-89.312477
2006,"(2006, 1)",43.0088291,-89.50682429999999
2006,"(2006, 1)",43.0506293,-89.4776144
2006,"(2006, 1)",43.0740001,-89.3810541
2006,"(2006, 1)",43.0698497,-89.3869155
2006,"(2006, 1)",43.0332062,-89.4579835
2006,"(2006, 1)",43.07704,-89.2958208
2006,"(2006, 1)",43.0390585,-89.4610677
2006,"(2006, 1)",43.1026017,-89.350039
2006,"(2006, 1)",43.0474061,-89.50263029999999
2006,"(2006, 1)",43.1043496,-89.3581488
2006,"(2006, 1)",43.0748106,-89.39167440000001
2006,"(2006, 1)",43.07302929999999,-89.4195974
2006,"(2006, 1)",43.1288351,-89.3510986
2006,"(2006, 1)",43.0848685,-89.3698577
2006,"(2006, 1)",43.0332062,-89.4579835
2006,"(2006, 1)",43.0538624,-89.47545459999999
2006,"(2006, 1)",43.068815,-89.4392469
2006,"(2006, 1)",43.1091874,-89.34282970000001
2006,"(2006, 1)",43.0638729,-89.50086569999999
2006,"(2006, 1)",43.06570259999999,-89.4164658
2006,"(2006, 1)",43.0721801,-89.4554196
2006,"(2006, 1)",43.0824586,-89.377857
2006,"(2006, 1)",43.0363157,-89.4123982
2006,"(2006, 1)",43.047386,-89.3516899
2006,"(2006, 1)",43.0495343,-89.40191689999999
2005,"(2005, 12)",43.124897,-89.30528679999999
2006,"(2006, 1)",43.0461009,-89.47361219999999
2006,"(2006, 1)",43.0346439,-89.4224567
2005,"(2005, 12)",43.076592,-89.4124875
2006,"(2006, 1)",43.12799589999999,-89.36134919999999
2006,"(2006, 1)",43.0676967,-89.40407689999999
2006,"(2006, 1)",43.0760909,-89.391654
2006,"(2006, 1)",43.1123445,-89.3630731
2006,"(2006, 1)",43.0367522,-89.4531896
2006,"(2006, 1)",43.0359105,-89.4507601
2006,"(2006, 1)",43.0734337,-89.3099441
2006,"(2006, 1)",43.0581007,-89.4109005
2006,"(2006, 1)",43.0787901,-89.3901671
2006,"(2006, 1)",43.0775704,-89.3840978
2006,"(2006, 1)",43.0556733,-89.5055289
2006,"(2006, 1)",43.0484033,-89.48649809999999
2006,"(2006, 2)",43.0746294,-89.3802803
2006,"(2006, 2)",43.0832196,-89.37146899999999
2006,"(2006, 2)",43.0358182,-89.4221537
2006,"(2006, 2)",43.0358182,-89.4221537
2006,"(2006, 2)",43.110585,-89.3469738
2006,"(2006, 2)",43.0754823,-89.3087201
2006,"(2006, 2)",43.0754823,-89.3087201
2006,"(2006, 2)",43.0769632,-89.3959757
2006,"(2006, 2)",43.124897,-89.30528679999999
2006,"(2006, 2)",43.0355243,-89.4866517
2006,"(2006, 2)",43.0519139,-89.47942599999999
2006,"(2006, 2)",43.1025612,-89.29405419999999
2006,"(2006, 2)",43.0730517,-89.4012302
2006,"(2006, 2)",43.05313290000001,-89.4744596
2006,"(2006, 2)",43.1129583,-89.3641932
2006,"(2006, 2)",43.1003868,-89.3485901
2006,"(2006, 1)",43.0738946,-89.40538629999999
2006,"(2006, 2)",43.0605973,-89.503435
2006,"(2006, 2)",43.053863,-89.475454
2006,"(2006, 2)",43.0811838,-89.38056429999999
2006,"(2006, 2)",43.11100649999999,-89.34761759999999
2006,"(2006, 2)",43.0989315,-89.31419489999999
2006,"(2006, 2)",43.063699,-89.50164559999999
2006,"(2006, 2)",43.063699,-89.50164559999999
2006,"(2006, 2)",43.0759415,-89.3936765
2006,"(2006, 2)",43.114662,-89.3019625
2006,"(2006, 2)",43.0759415,-89.3936765
2006,"(2006, 2)",43.0730517,-89.4012302
2006,"(2006, 2)",43.0730517,-89.4012302
2006,"(2006, 2)",43.1247111,-89.3091281
2006,"(2006, 3)",43.067916,-89.403038
2006,"(2006, 2)",43.1408761,-89.36109280000001
2006,"(2006, 2)",43.0297072,-89.46122299999999
2006,"(2006, 2)",43.0999189,-89.3415722
2006,"(2006, 2)",43.0310683,-89.46099439999999
2006,"(2006, 2)",43.0462657,-89.49654170000001
2006,"(2006, 2)",43.0249133,-89.458047
2006,"(2006, 1)",43.0775704,-89.3840978
2006,"(2006, 2)",43.0386589,-89.384509
2006,"(2006, 2)",43.0268059,-89.4597417
2006,"(2006, 2)",43.063699,-89.50164559999999
2006,"(2006, 2)",43.1016619,-89.3131052
2006,"(2006, 3)",43.072012,-89.3958712
2006,"(2006, 3)",43.07477069999999,-89.38997409999999
2006,"(2006, 3)",43.0838691,-89.3788321
2006,"(2006, 3)",43.0385314,-89.3973335
2006,"(2006, 3)",43.032752,-89.409785
2006,"(2006, 3)",43.1115891,-89.3638386
2006,"(2006, 3)",43.0709825,-89.40250499999999
2006,"(2006, 3)",43.1068103,-89.35124689999999
2006,"(2006, 3)",43.0887124,-89.3749615
2006,"(2006, 3)",43.0698371,-89.3869335
2006,"(2006, 3)",43.0873367,-89.36671249999999
2006,"(2006, 3)",43.1046531,-89.3377294
2006,"(2006, 3)",43.138088,-89.32398230000001
2006,"(2006, 3)",43.0838293,-89.37533169999999
2006,"(2006, 3)",43.123155,-89.3143174
2006,"(2006, 3)",43.084022,-89.3784258
2006,"(2006, 3)",43.0345632,-89.3689558
2006,"(2006, 3)",43.129686,-89.3006546
2006,"(2006, 3)",43.10389079999999,-89.34279599999999
2006,"(2006, 3)",43.0268059,-89.4597417
2006,"(2006, 3)",43.0268059,-89.4597417
2006,"(2006, 3)",43.0702322,-89.4688152
2006,"(2006, 3)",43.0332062,-89.4579835
